220,16,5581946099012,6.604
221,17,5581956611313,8.036
222,18,5581965516813,12.871
223,19,5581976600413,8.872
224,20,5581986587513,8.606
225,21,5581995523813,11.323
226,22,5582005413513,4.732
227,23,5582015960614,7.199
228,24,5582027747514,13.549
229,0,5582036788514,12.022
230,1,5582048343614,9.937
231,2,5582056949314,14.382
232,3,5582071784515,10.691
233,4,5582076475215,10.597
234,5,5582087238115,7.921
235,6,5582095800915,10.562
236,7,5582107884615,10.357
237,8,5582116652515,5.679
238,9,5582125946616,7.214
239,10,5582135495216,8.304
240,11,5582145533316,13.309
241,12,5582155359016,11.471
242,13,5582167896916,16.888
243,14,5582188879117,16.085
244,15,5582190403917,19.567
245,16,5582195507417,18.224
246,17,5582207204917,10.450
247,18,5582215695317,9.944
248,19,5582228176718,6.815
249,20,5582235799218,7.626
250,21,5582245601018,3.948
251,22,5582255275718,4.096
252,23,5582265583418,12.171
253,24,5582276587018,5.251
254,0,5582287265319,6.019
255,1,5582296642719,4.360
256,2,5582307229719,5.290
257,3,5582316522719,4.041
258,4,5582326972219,6.119
259,5,5582335348719,3.939
260,6,5582345257020,5.313
261,7,5582358456520,12.780
262,8,5582368782620,18.487
263,9,5582391439221,15.403
264,10,5582392315721,23.246
265,11,5582395542121,25.713
266,12,5582410488521,21.035
267,13,5582416222521,20.224
268,14,5582426818621,19.916
269,15,5582436905721,18.361
270,16,5582447326122,12.157
271,17,5582457288322,10.105
272,18,5582466035622,5.203
273,19,5582475549622,12.291
274,20,5582486400122,6.345
275,21,5582495778822,7.671
276,22,5582505935023,6.545
277,23,5582515120523,5.597
278,24,5582526380023,5.942
279,0,5582536395123,6.086
280,1,5582545845923,6.420
281,2,5582556296224,3.094
282,3,5582566660624,3.942
283,4,5582575764024,6.861
284,5,5582586052224,5.357
285,6,5582595724924,3.730
286,7,5582606555124,4.812
287,8,5582615522825,6.251
288,9,5582625256425,4.237
289,10,5582635991325,4.480
290,11,5582646407925,4.076
291,12,5582655293125,5.774
292,13,5582665159426,3.273
293,14,5582675243526,4.005
294,15,5582686950626,5.832
295,16,5582696349826,5.293
296,17,5582707444426,3.642
297,18,5582715304626,6.439
298,19,5582727406227,7.967
299,20,5582736405927,9.698
300,21,5582747154527,5.499
301,22,5582760626427,8.557
302,23,5582771674527,9.297
303,24,5582778988228,12.441
304,0,5582786553728,9.914
305,1,5582797716228,7.553
306,2,5582806802628,9.546
307,3,5582818558828,11.401
308,4,5582829390629,5.375
309,5,5582835359129,14.926
310,6,5582846453229,7.196
311,7,5582855574529,4.140
312,8,5582865462729,5.252
313,9,5582875279629,5.716
314,10,5582886340830,8.760
315,11,5582896409530,10.729
316,12,5582913701130,5.232
317,13,5582915427530,12.708
318,14,5582926617030,9.745
319,15,5582935919031,11.046
320,16,5582946474131,5.711
321,17,5582956565231,9.442
322,18,5582966187131,12.190
323,19,5582980309331,8.018
324,20,5582988645331,7.479
325,21,5582995872132,5.281
326,22,5583005659732,4.462
327,23,5583016618232,8.962
328,24,5583027684532,14.679
329,0,5583041780632,7.913
330,1,5583046480733,6.977
331,2,5583067716233,9.731
332,3,5583068341033,14.819
333,4,5583080063433,6.684
334,5,5583086717533,5.795
335,6,5583102548634,12.303
336,7,5583107990234,12.181
337,8,5583117250634,10.284
338,9,5583127376934,8.550
339,10,5583137403434,6.381
340,11,5583145458134,7.486
341,12,5583158358035,13.869
342,13,5583169963835,23.510
343,14,5583181636935,26.648
344,15,5583193796935,28.465
345,16,5583202033935,35.219
346,17,5583209283736,39.370
347,18,5583236623136,25.319
348,19,5583243852436,26.615
349,20,5583252983836,32.556
350,21,5583253222936,38.032
351,22,5583260931336,43.225
352,23,5583276049137,38.106
353,24,5583281533237,39.091
354,0,5583293960037,32.272
355,1,5583312653037,17.758
356,2,5583318084938,17.034
357,3,5583318727838,21.611
358,4,5583327807538,14.689
359,5,5583337999738,8.766
360,6,5583348478738,15.261
361,7,5583357025238,8.387
362,8,5583368669238,9.201
363,9,5583375756339,10.419
364,10,5583395503439,7.200
365,11,5583400239539,8.004
366,12,5583406893139,11.079
367,13,5583415640339,5.605
368,14,5583427435440,6.515
369,15,5583435156440,4.382
370,16,5583445398040,4.496
371,17,5583459421740,5.181
372,18,5583465848740,10.137
